truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination
7739,13,291.96,5.67,2821.21,San Antonio,Houston
1877,23,778.56,6.19,290.03,Detroit,San Francisco
3019,9,2433,4.55,682.18,San Diego,Tucson
6995,18,389.28,6.54,183.41,Minneapolis,New Orleans
7583,21,1946.4,6.58,238.36,New Orleans,Baltimore
6203,6,3114.24,5.32,315.81,Omaha,San Diego
9390,3,778.56,4.34,354.62,Sacramento,Memphis
6576,14,389.28,5.05,637.52,Boston,Oklahoma City
2382,7,681.24,5.81,76.64,Virginia Beach,Atlanta
5102,6,291.96,6.88,755.22,Sacramento,Tucson
7749,6,4379.4,4.64,261.43,Chicago,Tampa
1470,10,1654.44,4.73,133.58,Arlington,Albuquerque
2756,6,194.64,6.26,1378.85,Louisville,Las Vegas
2810,4,97.32,5.44,1628.1,Charlotte,Columbus
5854,1,973.2,4.73,1814.8,Atlanta,Las Vegas
2233,7,1070.52,5.26,265.17,Omaha,Louisville
4676,15,389.28,5.03,2568.86,Portland,Baltimore
3824,3,778.56,6.39,1488.7,Denver,Austin
8730,23,1070.52,4.22,99.71,Atlanta,Portland
6848,15,1265.16,5.18,476.14,Sacramento,Arlington
4475,7,1167.84,4.8,829.16,San Francisco,Memphis
3798,22,875.88,6.4,685.43,Albuquerque,Raleigh
4649,17,875.88,4.91,1315.13,Arlington,Omaha
9417,1,3698.16,5.6,96.26,Arlington,Austin
5191,8,1654.44,4.58,819.24,Nashville,Philadelphia
1399,16,2335.68,6.17,52.28,Tucson,Dallas
1779,21,486.6,6.11,1842.61,Raleigh,Minneapolis
6134,23,1265.16,5.44,229.49,Chicago,San Francisco
1431,13,2043.72,4.93,78.4,Albuquerque,Austin
3579,5,1167.84,5.51,1642.88,Fresno,Minneapolis
5702,20,291.96,4.94,2327.5,Kansas City,Raleigh
5856,24,1557.12,7.74,408.98,Miami,Portland
7526,24,681.24,4.97,503.55,Oklahoma City,Albuquerque
6320,22,875.88,7.41,1847,Denver,Memphis
8607,24,3503.52,5.67,88.5,Columbus,New Orleans
8999,16,2433,7.7,225.48,Las Vegas,Los Angeles
3866,15,1459.8,5.45,214.67,Seattle,Chicago
9697,4,194.64,5.77,878.3,Omaha,Kansas City
4683,23,97.32,6.07,12590.69,Fort Worth,Columbus
2623,15,4087.44,5.14,175.08,Minneapolis,Houston
3134,7,2043.72,4.48,132.67,Louisville,San Diego
2316,4,2238.36,7.38,486.78,San Diego,Milwaukee
9557,3,681.24,5.88,1546.6,Memphis,Mesa
6985,11,2238.36,6.39,25.16,Las Vegas,Houston
7809,20,3211.56,6.27,57.3,Sacramento,Chicago
8083,11,291.96,4.24,2579.8,Seattle,Charlotte
1242,1,1946.4,3.41,130,New Orleans,Baltimore
5717,8,1557.12,5.94,505.04,Mesa,Denver
8299,15,3990.12,4.17,237.22,Los Angeles,Long Beach
6732,9,1362.48,5.84,505.1,Las Vegas,Raleigh
3443,20,1751.76,5.78,473.36,Boston,Chicago
3724,14,97.32,5.48,7710.78,Sacramento,Atlanta
3038,13,3795.48,5.24,80.71,Arlington,San Jose
8251,7,2335.68,4.76,367.6,Nashville,Tulsa
9167,6,2043.72,5.37,163.3,Las Vegas,Tampa
5888,14,2141.04,5.66,97.93,Baltimore,San Diego
8571,12,3211.56,6.85,101.81,Omaha,San Antonio
6197,8,97.32,3.26,9077.7,Columbus,Charlotte
6524,1,583.92,4.37,2154.06,Detroit,Baltimore
5205,17,2043.72,5.66,623.71,Oklahoma City,Houston
6833,6,194.64,6.99,1517.65,Baltimore,Memphis
5225,2,194.64,5.67,979.16,Raleigh,Colorado Springs
4631,23,2335.68,4.13,155.92,Portland,Los Angeles
5547,10,681.24,7.26,444.57,Colorado Springs,Minneapolis
9419,14,3308.88,6,59.4,New Orleans,San Francisco
1188,18,2141.04,6.03,582.45,Jacksonville,Fresno
1525,15,1946.4,6.22,503.87,El Paso,Miami
3974,2,291.96,4.28,1982.22,Raleigh,Virginia Beach
3381,23,2335.68,4.06,243.68,Los Angeles,Portland
3469,24,1654.44,5.79,824.98,Omaha,Nashville
6489,21,1167.84,6.27,118.78,Denver,Milwaukee
8132,15,681.24,4.45,814.11,Austin,Houston
2126,11,3308.88,5.69,193.4,Miami,San Diego
1953,4,1070.52,4.09,107.66,Tulsa,Sacramento
5187,15,291.96,5.94,960.55,Colorado Springs,Miami
9377,2,4476.72,5.3,11.78,Arlington,Chicago
1799,13,486.6,5.4,1665.19,Houston,Dallas
5346,14,97.32,6.01,1713.59,Phoenix,Houston
9296,20,778.56,5.2,696.81,Seattle,San Jose
9628,4,194.64,6.21,8844.44,Jacksonville,Columbus
2092,20,2530.32,4.8,121.86,Tulsa,Boston
9454,5,1459.8,4.98,652.8,El Paso,Atlanta
2597,21,2335.68,7.49,29.26,Phoenix,Louisville
2108,23,681.24,5.56,542.32,Atlanta,Baltimore
8317,18,1751.76,6.37,457.77,San Francisco,Fresno
3921,11,1751.76,5.45,560.69,Raleigh,Nashville
5468,16,2335.68,5.86,103.64,Las Vegas,Chicago
3183,23,1167.84,6.59,847.78,Louisville,Raleigh
7055,24,1070.52,5.62,192.62,Atlanta,Portland
8514,8,97.32,6.57,3438.65,Oakland,Virginia Beach
3237,20,2043.72,5.38,174.87,San Francisco,Atlanta
9941,22,973.2,6.65,1492.04,Mesa,Oklahoma City
4386,21,389.28,5.8,1641.89,Dallas,Fort Worth
1518,24,389.28,4.62,1771.3,Albuquerque,Memphis
2435,8,1654.44,5.35,491.3,Louisville,Minneapolis
3066,8,1362.48,6.68,451.67,Boston,San Antonio
9105,11,778.56,5.6,226.46,Nashville,Charlotte
2961,6,389.28,7.68,2060.19,San Diego,Houston
8133,21,1946.4,5.59,398.17,Louisville,Dallas
5131,5,1654.44,3.52,241.7,Phoenix,El Paso
4797,12,1946.4,5.42,62.78,Las Vegas,San Antonio
5267,10,194.64,5.56,690.95,Virginia Beach,Miami
9993,9,2627.64,5.78,63.35,Charlotte,Miami
7075,12,4184.76,4.28,54.69,Philadelphia,Arlington
1396,18,3600.84,5.78,138.34,Chicago,Omaha
4182,14,389.28,5.05,1518.02,Albuquerque,Sacramento
7243,17,3600.84,6.07,352.14,New Orleans,Fort Worth
5956,6,97.32,5.89,9171.93,Oklahoma City,Detroit
7729,21,1265.16,5.69,126.25,Mesa,El Paso
9253,9,1362.48,5.59,576.52,Tulsa,Tucson
8412,21,1459.8,5.53,525.47,Indianapolis,Los Angeles
1372,12,97.32,4.88,7700.48,Fresno,Tucson
3801,19,1946.4,6.64,185.96,Virginia Beach,Detroit
1227,6,1362.48,6.92,299.38,Dallas,Nashville
7073,6,1167.84,5.2,241.53,Albuquerque,Washington
4681,4,194.64,4.33,2009.56,Phoenix,Chicago
5808,4,389.28,6.54,3267.12,Jacksonville,San Francisco
8678,19,2043.72,6.35,77.99,Oakland,Detroit
5059,12,973.2,7.21,178.39,Baltimore,Washington
1435,2,3698.16,4.06,158.77,Chicago,Raleigh
8630,18,973.2,5.35,815.9,Phoenix,Charlotte
2833,17,2433,4.18,501.82,Albuquerque,San Antonio
5160,21,4379.4,4.34,38.21,Arlington,Houston
8765,7,2141.04,4.74,606.12,Virginia Beach,El Paso
9591,1,3600.84,7.59,53.93,Omaha,Chicago
2132,8,389.28,6.5,593.89,Austin,Charlotte
